Year,Sample_ID,Collection_Date,Latitude,Longitude,Sample_Type,Collection_Depth,Collection_Mthd,Constituent,Definition,Reported_Value,Reported_QA,Unit,Instrument
2017,BEM-2017-02-001,2017-06-22,47.57453,-95.08586,Pore Water,1,Kuwabara,SO4,Sulfate concentration of the sample,0.100,LT,mg/L,IC
2017,BEM-2017-02-001,2017-06-22,47.57453,-95.08586,Pore Water,1,Kuwabara,Si,Silicon concentration of the sample,5.79,,mg/L,ICP-OES
2017,BEM-2017-02-001,2017-06-22,47.57453,-95.08586,Pore Water,1,Kuwabara,Sr,Strontium concentration of the sample,50,LT,ug/L,ICP-OES
2017,BEM-2017-02-001,2017-06-22,47.57453,-95.08586,Pore Water,1,Kuwabara,Zn,Zinc concentration of the sample,100,LT,ug/L,ICP-OES
2017,BEM-2017-02-005,2017-06-22,47.57453,-95.08586,Pore Water,5,Kuwabara,Al,Aluminum concentration of the sample,100,LT,ug/L,ICP-OES
2017,BEM-2017-02-005,2017-06-22,47.57453,-95.08586,Pore Water,5,Kuwabara,Alkalinity,Alkalinity concentration of the sample measured in milligrams per liter as bicarbonate,224,,mg/L,Titrator
2017,BEM-2017-02-005,2017-06-22,47.57453,-95.08586,Pore Water,5,Kuwabara,B,Boron concentration of the sample,100,LT,ug/L,ICP-OES
2017,BEM-2017-02-005,2017-06-22,47.57453,-95.08586,Pore Water,5,Kuwabara,Ba,Barium concentration of the sample,100,LT,ug/L,ICP-OES
2017,BEM-2017-02-005,2017-06-22,47.57453,-95.08586,Pore Water,5,Kuwabara,Br,Bromide concentration of the sample,0.100,LT,mg/L,IC
2017,BEM-2017-02-005,2017-06-22,47.57453,-95.08586,Pore Water,5,Kuwabara,Ca,Calcium concentration of the sample,100,,mg/L,ICP-OES
2017,BEM-2017-02-005,2017-06-22,47.57453,-95.08586,Pore Water,5,Kuwabara,Cl,Chloride concentration of the sample,0.951,,mg/L,IC
2017,BEM-2017-02-005,2017-06-22,47.57453,-95.08586,Pore Water,5,Kuwabara,Cu,Copper concentration of the sample,100,LT,ug/L,ICP-OES
2017,BEM-2017-02-005,2017-06-22,47.57453,-95.08586,Pore Water,5,Kuwabara,Fe,Iron concentration of the sample,1743,,ug/L,ICP-OES
2017,BEM-2017-02-005,2017-06-22,47.57453,-95.08586,Pore Water,5,Kuwabara,K,Potassium concentration of the sample,1.32,,mg/L,ICP-OES
2017,BEM-2017-02-005,2017-06-22,47.57453,-95.08586,Pore Water,5,Kuwabara,Li,Lithium concentration of the sample,50,LT,ug/L,ICP-OES
2017,BEM-2017-02-005,2017-06-22,47.57453,-95.08586,Pore Water,5,Kuwabara,Mg,Magnesium concentration of the sample,11.3,,mg/L,ICP-OES
2017,BEM-2017-02-005,2017-06-22,47.57453,-95.08586,Pore Water,5,Kuwabara,Mn,Manganese concentration of the sample,512,,ug/L,ICP-OES
2017,BEM-2017-02-005,2017-06-22,47.57453,-95.08586,Pore Water,5,Kuwabara,NH3-N,Total ammonia nitrogen concentration of the sample,2.12,,mg N/L,Automated colorimetry
2017,BEM-2017-02-005,2017-06-22,47.57453,-95.08586,Pore Water,5,Kuwabara,NO3,Nitrate concentration of the sample,0.100,LT,mg/L,IC
