LocalSiteName,StudySite,LocalUseCode,Comments_UseCode,USGS_siteno,USGS_StationName,XcoordUTMNAD83_m,YcoordUTMNAD83_m,OnNorthWellTransect,DistanceFromCenterOfNorthOilBody_m,LandSurfaceElevation_mASL_NAVD88,OtherEquip_MP_height_m,DateOfConstruction,Comments_DateOfConstruction,NameOfContractor,DrillerName,OtherEquipmentPurpose,Comments_Equipment,Comments,Comments_Miscellaneous
x15seis2.29,Bemidji,ss,seismic survey blast point,,,342808.04,5270997.06,,,431.392,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis2.28,Bemidji,ss,seismic survey blast point,,,342802.88,5271002.13,,,431.235,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis2.27,Bemidji,ss,seismic survey blast point,,,342797.65,5271007.34,,,431.401,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis2.26,Bemidji,ss,seismic survey blast point,,,342792.21,5271012.28,,,431.507,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis2.25,Bemidji,ss,seismic survey blast point,,,342786.99,5271017.42,,,431.196,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis2.24,Bemidji,ss,seismic survey blast point,,,342781.72,5271022.35,,,430.935,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis2.23,Bemidji,ss,seismic survey blast point,,,342776.38,5271027.39,1.0,-13.81,430.568,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis2.22,Bemidji,ss,seismic survey blast point,,,342770.91,5271032.35,1.0,-16.8,430.359,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis2.21,Bemidji,ss,seismic survey blast point,,,342765.64,5271037.24,,,430.168,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis2.20,Bemidji,ss,seismic survey blast point,,,342760.26,5271042.29,,,430.204,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis2.19,Bemidji,ss,seismic survey blast point,,,342755.3,5271047.23,,,430.368,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis2.18,Bemidji,ss,seismic survey blast point,,,342749.74,5271052.38,,,430.569,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis2.17,Bemidji,ss,seismic survey blast point,,,342744.23,5271057.18,,,430.752,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis2.30,Bemidji,ss,seismic survey blast point,,,342813.31,5270991.94,,,431.311,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis2.31,Bemidji,ss,seismic survey blast point,,,342818.56,5270986.82,,,431.01,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis2.32,Bemidji,ss,seismic survey blast point,,,342823.87,5270981.92,,,430.568,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis2.33,Bemidji,ss,seismic survey blast point,,,342829.09,5270976.97,,,429.986,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis2.34,Bemidji,ss,seismic survey blast point,,,342834.3,5270971.81,,,429.489,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis2.35,Bemidji,ss,seismic survey blast point,,,342839.56,5270966.71,,,429.194,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis2.36,Bemidji,ss,seismic survey blast point,,,342844.87,5270961.65,,,429.099,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis2.37,Bemidji,ss,seismic survey blast point,,,342850.2,5270956.75,,,428.999,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis2.38,Bemidji,ss,seismic survey blast point,,,342855.54,5270951.57,,,429.097,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis2.39,Bemidji,ss,seismic survey blast point,,,342860.77,5270946.66,,,429.372,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15.sp.c1,Bemidji,scf,soil CO2 efflux collar,,,342818.57,5270848.16,,,425.946,0.0,,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
x15.sp.c2,Bemidji,scf,soil CO2 efflux collar,,,342817.7,5270850.56,,,425.841,0.0,,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
x15.sp.c3,Bemidji,scf,soil CO2 efflux collar,,,342815.3,5270855.57,,,425.817,0.0,,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
x15.sp.c4,Bemidji,scf,soil CO2 efflux collar,,,342814.01,5270860.46,,,425.903,0.0,,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
x15.sp.c5,Bemidji,scf,soil CO2 efflux collar,,,342811.57,5270864.6,,,425.979,0.0,,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
x15.sp.c6,Bemidji,scf,soil CO2 efflux collar,,,342809.84,5270869.07,,,426.071,0.0,,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
x15.sp.c7,Bemidji,scf,soil CO2 efflux collar,,,342808.25,5270870.95,,,426.081,0.0,,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
x15.sp.c9,Bemidji,scf,soil CO2 efflux collar,,,342804.5,5270867.28,,,425.946,0.0,,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
